id,target
0,19033025.187510904
1,7826490.237087083
2,5159724.699210387
3,1389206.1264830376
4,4305109.818788637
5,6877731.058500083
6,3977591.083392429
7,11406384.065317657
8,11603993.613567894
9,4438254.706366016
10,24876171.14730508
11,4985601.799472976
12,4281299.151988311
13,4279245.789129284
14,4741411.063926897
15,3262264.78038448
16,1945896.8088130346
17,2989739.2198950895
18,3245806.454424776
19,3453667.314467523
20,5383634.866519849
21,4053339.4433333236
22,3707896.0532362587
23,3043264.221516174
24,6002703.015542557
25,4427905.8070279565
26,3064550.3928178414
27,1526093.0482243507
28,3319694.374463456
29,10020139.202430332
30,1334743.7570632563
31,6939842.403628119
32,3065452.178532127
33,1506084.3361770485
34,4965167.664590505
35,6303453.514169353
36,4956397.003894079
37,2071756.434577741
38,4375739.34997964
39,5957687.844869962
40,4985876.785141271
41,12572212.65240271
42,3794538.0358395004
43,9620677.585807048
44,3905263.732436215
45,14698059.7123651
46,10858759.706454009
47,53370108.97259613
48,3977981.256659225
49,5213602.195775482
50,18372197.565354954
51,4307136.799695204
52,3229288.968553471
53,5054464.134831754
54,1322780.0590563947
55,3743416.613304489
56,1706580.075180113
57,10963981.326580653
58,6325230.105220797
59,1301267.4580199507
60,4789274.655284845
61,3738167.8845181684
62,4623942.217053193
63,10443987.408938907
64,13240232.499858024
65,3288829.6764344242
66,6992836.958589588
67,12978472.088949293
68,1976827.540543992
69,5038355.094451748
70,12490622.945126625
71,6524685.047972167
72,4950190.144901606
73,3664817.272722363
74,3993021.518525523
75,5977408.16495519
76,1859930.1063881072
77,8302069.317696311
78,3651240.036287541
79,15417165.402240999
80,37014171.48594975
81,7652175.814258762
82,4115207.240354018
83,3791565.7164982343
84,66745051.63982013
85,5139441.301209367
86,2822704.967642645
87,3210896.8533000564
88,15798142.624281995
89,7391611.262209784
90,5506389.088839431
91,31012559.4338697
92,8277097.84852937
93,6292991.406383162
94,11541537.098711515
95,6895724.805182053
96,1747155.907580969
97,1351850.4668054576
98,1614284.8104230461
99,47226429.56119695
100,8743433.13941448
101,7285522.103894731
102,4782158.376298989
103,36745884.17293229
104,3075859.4354718663
105,9149487.393063283
106,4155188.277661196
107,17232428.808882073
108,5812722.6645843135
109,11344296.178971972
110,8854453.013294403
111,8820249.000969661
112,6844970.6494201375
113,33079747.728211634
114,11046922.342936927
115,7311739.433595104
116,4023930.5558928847
117,10455168.394985192
118,8829664.188030472
119,1357419.6807763458
120,1910715.7661030702
121,12646986.219388252
122,4804805.514186752
123,3830264.5879163826
124,4870909.20541739
125,12016347.320221677
126,3138201.1239927537
127,5864519.06140143
128,5477455.229462352
129,5837039.586878197
130,33724417.20816386
131,4920533.350591787
132,2331881.1308285315
133,43195951.36054422
134,12487643.64632116
135,10223691.481272781
136,7729735.471925791
137,1314365.882267364
138,4081366.2723210435
139,19370920.050845828
140,5638242.625587386
141,41030617.18945126
142,36746641.60224988
143,24900102.36110832
144,9516062.86632401
145,6370012.093824574
146,4114097.3507496878
147,3796738.8926496156
148,3539144.4793863655
149,12930668.17017678
150,1839817.0004739114
151,4184714.312837886
152,1364253.771247106
153,5520584.861958069
154,42728462.62884358
155,10115798.739988625
156,4381687.574616499
157,3043183.8331315736
158,12902800.346376875
159,2626989.836398673
160,1321000.903942633
161,4101867.7120572636
162,3735095.2470595115
163,32589530.708681565
164,5479887.027604798
165,1996763.2141401358
166,3735445.9551766054
167,4525838.114860356
168,3964437.845688156
169,6568267.030674295
170,9518802.58580705
171,5204533.315731273
