id,target
0,22310975.225959305
1,7591044.004038495
2,7376355.193533324
3,817210.2297589543
4,7326265.580646865
5,5357539.668327791
6,3343272.5905925296
7,9352719.647367941
8,12242311.803732902
9,5177179.236721182
10,27916950.352872908
11,4799133.6137821125
12,3387426.7009040616
13,5025140.970888545
14,4923245.52077109
15,3320827.170871865
16,1948970.0886708547
17,1655941.6666666667
18,3044509.668636933
19,4575294.140740909
20,4535432.1716177855
21,5116063.758344606
22,3924946.0933541353
23,3399253.3680259488
24,9592098.69043252
25,4763478.168469248
26,1792983.3333333333
27,3935399.8379182084
28,3641008.2157078073
29,7369034.704198825
30,1555017.6557513352
31,5909823.504008015
32,2247595.0509292544
33,3231229.4521290455
34,5088495.677782029
35,7696100.442869875
36,6233780.414196816
37,1573151.6666666667
38,5933896.241340338
39,6248109.111608977
40,3919630.930884853
41,9569873.745674575
42,3228744.9866763367
43,6839434.678632967
44,5131093.657277804
45,15201538.424848048
46,8221534.806768849
47,34605344.9507559
48,5905083.54456221
49,4558077.674957188
50,20581576.756116524
51,4529371.328987773
52,2909829.038621305
53,4977541.004254032
54,3756771.241140365
55,3623800.405433646
56,1343702.9156741884
57,8863460.940103201
58,7418810.348486289
59,840653.3333333334
60,4369195.309462164
61,3303786.623961585
62,5818537.042409524
63,9533812.405741422
64,11631700.43014481
65,2957404.7653270266
66,6567374.395463475
67,20201375.091658887
68,6090257.376093634
69,8391677.46023515
70,11653605.450801775
71,6274276.941053104
72,4168598.1350383107
73,2989977.5222566375
74,4089685.440210217
75,4554178.373857979
76,2781258.4637163538
77,6267818.640460071
78,6665177.801373004
79,14713942.299119605
80,34648740.483065635
81,7096377.12517453
82,5056412.227958293
83,5028731.246548579
84,72135145.29744278
85,7020637.706166729
86,3725571.494352682
87,1984763.5965766509
88,15957476.753478095
89,9002227.721533788
90,6937804.755386614
91,37013422.10387517
92,13150864.868692799
93,6785332.139276625
94,10695033.410449041
95,5335962.702681183
96,838891.6666666666
97,1063505.0
98,1702246.6666666667
99,52242012.66008496
100,5123442.003752652
101,11590845.550185775
102,4301486.274518195
103,28280269.45872582
104,1662766.6666666667
105,7869219.973404099
106,5452182.117781925
107,16387762.634578899
108,5119937.994378967
109,14213739.519926583
110,6309083.579715165
111,6541488.434326456
112,3554796.5328339613
113,15568785.708583362
114,16342394.89748145
115,5283981.742937962
116,4982576.263952692
117,10991419.836956298
118,7034535.568165227
119,1241700.0
120,3664840.1554653854
121,8577874.891548857
122,4468119.097485618
123,3383041.851357691
124,4381766.142786758
125,9797394.887683837
